characterId,codename,rigFamily,modelKind,partName,path,loadPath,pathHashHead,pathHashHex,assetSize,bundleIndex,bundleName,bundleHashName,bundleHashHex
chr_0002_endminm,endminm,Boy,postmodel,chr_0002_endminm_postmodel,assets/beyond/dynamicassets/gameplay/actors/postmodels/characters/chr_0002_endminm_postmodel.prefab,assets/beyond/dynamicassets/gameplay/actors/postmodels/characters/chr_0002_endminm_postmodel.prefab,796872092643041424,0x0B0F0EF23D692090,520,199461,main/d678052c467064e2203f653b.ab,806744926581867205,0x0B32223C8542C2C5
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/s_actor_endminm_body_01_lod0.asset,,,,534065,81848,main/579b739d6ff7c6e9ea1d49b6.ab,,
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/s_actor_endminm_cloth_01_lod0.asset,,,,2909138,30063,main/1f672499823027eed18aedc7.ab,,
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/s_actor_endminm_cloth_02_lod0.asset,,,,1899258,45637,main/304d0046e86250dc89fadccf.ab,,
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/s_actor_endminm_cloth_03_lod0.asset,,,,162458,232453,main/fa2f65df05c32c6520fc343a.ab,,
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/s_actor_endminm_cloth_04_lod0.asset,,,,1053130,12820,main/0cddf52d3a55af50f623c6ae.ab,,
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/s_actor_endminm_cloth_05_lod0.asset,,,,6094,65253,main/45767cff6621ffb09b51c33f.ab,,
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/s_actor_endminm_face_01_lod0.asset,,,,292109,19552,main/140fed592391f34e5166b695.ab,,
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/s_actor_endminm_hair_01_lod0.asset,,,,1354953,227068,main/f457057d9499382894ad4adb.ab,,
chr_0002_endminm,endminm,Boy,model_asset,,assets/beyond/arts/entity/actor/boy/endminm/models/sk_actor_endminm_01.fbx,,,,0,58356,main/3e05ef64c673070344b347e4.ab,,
